Read     Abs      nm   
_______________________
Zero  (0.0491)  525.00 
Zero  (0.0494)  525.00 
  1    0.3770   525.00 
  2    0.2989   525.00 
  3    0.6550   525.00 
  4    0.6273   525.00 
  5    0.9285   525.00 
  6    0.9181   525.00 
  7    1.1707   525.00 
  8    1.3006   525.00 
  9    0.0017   525.00 
 10    0.0013   525.00 
 11    0.0006   525.00 
 12    0.0005   525.00 
 13    0.0035   525.00 
 14    0.0041   525.00 
 15    0.0022   525.00 
 16    0.0025   525.00 
 17    0.0015   525.00 
 18    0.0022   525.00 
 19    0.0003   525.00 
 20    0.0026   525.00 
 21    0.0003   525.00 
 22    0.0026   525.00 
 23    0.0009   525.00 
 24    0.0006   525.00 
 25    0.0011   525.00 
 26    0.0001   525.00 
 27    -0.0008  525.00 
 28    0.0083   525.00 
 29    0.0010   525.00 
 30    0.0007   525.00 
 31    0.0123   525.00 
 32    0.0107   525.00 
 33    0.0005   525.00 
 34    0.0012   525.00 
 35    0.0047   525.00 
 36    0.0033   525.00 
 37    -0.0002  525.00 
 38    0.0044   525.00 
 39    0.0021   525.00 
 40    0.0015   525.00 
 41    -0.0001  525.00 
 42    0.0007   525.00 
 43    0.0012   525.00 
 44    -0.0003  525.00 
 45    0.0035   525.00 
 46    0.0010   525.00 
 47    0.0005   525.00 
 48    0.0074   525.00 



Re-reads of (29,39,43,46)
Zero  (0.0506)  525.00 
Zero  (0.0495)  525.00 
 49    0.0015   525.00 29
 50    0.0003   525.00 39
 52    0.0015   525.00 
 53    0.0001   525.00 
